2.540691,    1024,       8
2.872531,    1024,      32
7.534730,    1024,     128
43.537414,    4096,       8
40.634921,    4096,      32
46.226076,    4096,     128
159.900066,   16384,       8
150.810014,   16384,      32
161.718262,   16384,     128
141.543995,   65536,       8
646.260667,   65536,      32
153.121494,   65536,     128
432.706533,  262144,       8
1322.143287,  262144,      32
1395.333048,  262144,     128
982.931855, 1048576,       8
2692.743910, 1048576,      32
2028.601461, 1048576,     128
1075.948095, 2097152,       8
3363.925710, 2097152,      32
4956.212708, 2097152,     128
1141.106012, 4194304,       8
3967.550428, 4194304,      32
6253.733727, 4194304,     128
