  32,      1024,     0.009
  32,      2048,     0.020
  32,      4096,     0.038
  32,      8192,     0.110
  32,     16384,     0.187
  32,     32768,     0.380
  32,     65536,     0.739
  32,    131072,     0.288
  32,    262144,     0.950
  32,    524288,     1.748
  32,   1048576,     1.925
  32,   2097152,     0.253
  64,      1024,     0.009
  64,      2048,     0.023
  64,      4096,     0.075
  64,      8192,     0.146
  64,     16384,     0.292
  64,     32768,     0.551
  64,     65536,     0.588
  64,    131072,     0.490
  64,    262144,     0.768
  64,    524288,     1.078
  64,   1048576,     2.782
  64,   2097152,     3.171
 128,      1024,     0.017
 128,      2048,     0.035
 128,      4096,     0.043
 128,      8192,     0.136
 128,     16384,     0.284
 128,     32768,     0.359
 128,     65536,     0.671
 128,    131072,     0.599
 128,    262144,     1.077
 128,    524288,     1.666
 128,   1048576,     3.225
 128,   2097152,     4.718
 256,      1024,     0.014
 256,      2048,     0.039
 256,      4096,     0.050
 256,      8192,     0.143
 256,     16384,     0.258
 256,     32768,     0.546
 256,     65536,     0.551
 256,    131072,     0.470
 256,    262144,     1.173
 256,    524288,     1.018
 256,   1048576,     2.387
 256,   2097152,     4.120
